Length,Date,Diameter,Degree,Thickness,Criteria,Original Thickness,Thickness_Difference
18,01/01/2020,20,23,5.614796654223517,Pass,6,0.3852033457764827
8,01/01/2025,20,290,0.6648385391942515,Fail,6,5.3351614608057485
16,01/01/2022,20,158,3.1896476470794344,Pass,6,2.8103523529205656
7,01/01/2022,20,316,3.214910578165536,Pass,6,2.7850894218344644
47,01/01/2022,20,97,3.429546580048939,Pass,6,2.570453419951061
4,01/01/2022,20,116,3.56819574474622,Pass,6,2.4318042552537804
34,01/01/2020,20,322,5.924021552622962,Pass,6,0.0759784473770377
13,01/01/2025,20,144,0.2311574719126303,Fail,6,5.76884252808737
8,01/01/2025,20,126,0.7838856309997162,Fail,6,5.216114369000284
17,01/01/2021,20,5,4.026776920362996,Pass,6,1.9732230796370045
14,01/01/2021,20,273,4.5916813066371365,Pass,6,1.4083186933628635
24,01/01/2025,20,166,0.388221116162776,Fail,6,5.611778883837224
28,01/01/2023,20,13,2.0203316354286267,Warn,6,3.979668364571373
45,01/01/2025,20,317,0.1918293903948145,Fail,6,5.8081706096051855
32,01/01/2022,20,212,3.642029249926925,Pass,6,2.3579707500730747
14,01/01/2021,20,271,4.157619768774318,Pass,6,1.8423802312256816
36,01/01/2023,20,60,2.4237786653952886,Warn,6,3.576221334604712
35,01/01/2020,20,300,5.49245701560553,Pass,6,0.5075429843944699
10,01/01/2021,20,300,4.3850001485782375,Pass,6,1.6149998514217625
19,01/01/2025,20,22,0.7908096075140651,Fail,6,5.209190392485935
0,01/01/2020,20,147,5.297003472474386,Pass,6,0.702996527525614
23,01/01/2025,20,131,0.4074147387101048,Fail,6,5.592585261289895
46,01/01/2022,20,223,3.3864733668679943,Pass,6,2.6135266331320057
8,01/01/2022,20,297,3.651450017414024,Pass,6,2.3485499825859764
3,01/01/2023,20,206,2.672679660269784,Pass,6,3.327320339730216
42,01/01/2020,20,137,5.6193904364046805,Pass,6,0.3806095635953195
42,01/01/2020,20,14,5.709923024758449,Pass,6,0.2900769752415506
3,01/01/2021,20,58,4.237053505433042,Pass,6,1.7629464945669584
1,01/01/2023,20,331,2.260851869135564,Warn,6,3.739148130864436
48,01/01/2021,20,124,4.736345490838777,Pass,6,1.2636545091612232
9,01/01/2025,20,105,0.4261565023550764,Fail,6,5.573843497644924
22,01/01/2022,20,352,3.129518601006164,Pass,6,2.870481398993836
10,01/01/2021,20,188,4.201653244858008,Pass,6,1.798346755141992
16,01/01/2024,20,264,1.6963944651254843,Warn,6,4.303605534874516
4,01/01/2020,20,114,5.602915542751342,Pass,6,0.397084457248658
9,01/01/2020,20,240,5.378204672351437,Pass,6,0.621795327648563
20,01/01/2022,20,303,3.0202059576492597,Pass,6,2.9797940423507407
20,01/01/2020,20,44,5.0895446394850845,Pass,6,0.9104553605149156
12,01/01/2024,20,204,1.7200795354955316,Warn,6,4.279920464504468
15,01/01/2022,20,279,3.8766428312402814,Pass,6,2.1233571687597177
49,01/01/2020,20,11,5.294264965784906,Pass,6,0.7057350342150936
28,01/01/2023,20,251,2.4192620147650894,Warn,6,3.5807379852349106
46,01/01/2020,20,20,5.319594545380955,Pass,6,0.680405454619045
7,01/01/2024,20,156,1.418266312961662,Warn,6,4.581733687038338
37,01/01/2021,20,326,4.257020478482732,Pass,6,1.7429795215172683
47,01/01/2020,20,355,5.928942913273877,Pass,6,0.0710570867261228
27,01/01/2024,20,65,1.046458369670173,Warn,6,4.953541630329827
5,01/01/2022,20,198,3.9267299925355337,Pass,6,2.0732700074644663
44,01/01/2025,20,246,0.9262383386717524,Fail,6,5.073761661328248
45,01/01/2020,20,171,5.325464767255253,Pass,6,0.6745352327447467
